,user_id_str,bio,pred_ideology,actual_ideology
0,1439177893,WWG1WGA!  Follower of Christ unwilling to live with totalitarianism.  My children's liberty isn't negotiable.,1,1
1,28584787,writer. introvert. bookworm. feminist. scholar. francophile. oenophile. professor. activist. geek. she/her/hers,-1,-1
2,192653700,"|Safe Space|BLM|Anti-Fascism|LGBTQ|

Hugs and Snugs Welcomed

I am an Asshole, but I am not 100% a Dick!",-1,-1
3,176598289,#blm • hey kids spelling is fun • RI • stream the last great american dynasty 4 clear skin ❤️ • sassmaster supreme • # 1 fan of woodbridge pinot grigio,-1,-1
4,60717321,"Software engineer, aviation nerd, geek, gamer, husband, dad (x2), progressive humanist. Cis. He/his/him.",-1,-1
5,25639611,"she/her, Badass Spanish teacher, Presenter, Cunning linguist, Traveler. Sr. Wooly Contributor, 🎻Fiddler on Vermouth. FMFC Flock, 🦩⚽️. Curler🥌. Ally🌈. BLM✊.",-1,-1
6,2167092876,"#Socialist  ☭ cyber bitch  ☭ #DankMemes ☭  #Revolutionary!  ☭ #RadicalProgressive  
☮#NoWarButClassWar!☮",-1,-1
7,69392175,"Selling commercial real estate in the Greater Houston area. Conservative Libertarian in philosophy. Love music, cooking, history and historic architecture.",1,1
8,16814727,Check out my book! http://amzn.to/1ZYxyvp  I am a very Conservative (NOT Republican) Attorney. A follow/RT does not imply endorsement. #TCOT #JobsNotMobs,1,1
9,3116250695,"Libertarian.Govt doesn't own Us,Oppose Vaccine Mandates. Love this Earth, All Creatures & My Country. Politically Active,#CDCwhistleblower #GMOisPoison",1,1
10,293081735,"Follower Of Christ ~ Direct Decendent of John Paul Jones, Founder of the American Navy ~ NY Conservative Constitutionalist ~ U.S. Air Force Veteran ~ Poet",1,1
11,350739998,"Music is MY LIFE. I love Poetry 📓 & Hip Hop 🎤 | Indian & Guyanese 🇮🇳🇬🇾, Down to earth..Hit Me Up 😃

#BlackLivesMatter",-1,-1
12,1312307419,"Christian Conservative #JesusIsLord RATIONAL Lover of ALL People but not their SIN, Promoter of Goodness, Health & Safety",1,1
13,12903462,#Awesome #LGBTQ #political #disability #activist #Progressive #GOP #NightOwl #journalist #blogger #Hartford #CT #Westchester #NYC #OWS #tech #geek #SocMed #LOVE,-1,-1
14,1699215170,KQ publishes four times a year and is the progressive publication of record for the  Korean American and adopted Korean community. Visit: http://t.co/sUQzecfi6R,-1,-1
15,352665889,"Automatic block if you add me to a group. Retired, Political junkie, Packer Fan, Democrat.",-1,-1
16,17761963,"Head of people @buffer; sharing on workplace culture, diversity & inclusion in tech & remote work. #BlackLivesMatter. She/her. Contact: courtney@buffer.com",-1,-1
17,20250988,"#papercrafting #rubberstamper #veryinkyfingers #Jesus  Mom Grandma, Great Grandma, Re-planted in Florida Conservative, Born Again.",1,1
18,3355401615,"Talents include: Writing, movie-watching, and falling in love with fictional stories. Christian. Conservative. In real life I'm probably too nice. #moviereview",1,1
19,37907738,Love my country and I will always defend the constitution and our freedom as an  American! I have no patience nor the time for LIBERAL STUPIDITY,-1,1
20,2401965602,"It's done. ""How I Learned The Facts of Life: Real news vs. fake news in a time of plague, injustice, gobsmacking trumpery...and whatever comes next.""",1,-1
21,1931499180,Beware the barrenness of a busy life. #MAGA Pro-Israel The Bible is the living word of God. Very happily married to a man who treats me like a queen!,1,1
22,270708840,"Conservative,Family,animal lover, PROUDLY F/B 
@TonyShaffer, @ScottBaio,  @JuanitaBroaddrick, @Nickshort, @GenFlynn, @JessieJaneDuff, @RyanFournier, @HarlanHill",1,1
23,182476858,"I'm a progressive. The Dems & Reps are the same, they're the $ party. We need  remove $ out of politics. Congress is completely corrupt. Politicians are bought.",-1,-1
24,16007529,"Political Junkie, Sister Suffragette, Progressive Feminist, Anglophile,Gen X, Ginger Gemini, and lover of the Woo. #Warren2020 #Persist #YesShePlans ✊🌊🗳💙🗽",-1,-1
25,227697538,🇬🇩 always positive. womanist. anime. BLM. traveller.,-1,-1
26,1736787728,#Activist #Blackhistory365 #BlackLivesMatter #BlackTwitter #community #Culture #Blackpower #BlackCommunity #BlackExcellence #BlackPower #Blackwealth,-1,-1
27,942750498,Jesus Christ is my savior proud trump support psalm 46:5 he followed 9/11/16 1:56pm I love my friends and family #teamjesus,1,1
28,19889325,"here for my friends. bayern munich&german nt. stars&caps. queer enby poc. she/them/babes. fuck trump, fight fascism, punch nazis, #BLM, #ACAB, #AbolishICE",-1,-1
29,37217034,Jet Life. Let’s talk sports. Part-time Basshead. Let your ambition carry you.       #BLACKLIVESMATTER,-1,-1
30,26569233,"Pop culture, politics, puppies & Pokemon. I like wine and hiking. | 🎓 CSULB | 💼 HR | 🏰 Disneyland AP | #equality 🏳️‍🌈 #resist 🌊 #blacklivesmatter",-1,-1
